,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
11753,20-Nov,제주시,애월읍,숙박,133,14533439,45684131.9,2021-07-28
11780,20-Nov,제주시,용담1동,숙박,44,32741440,7597553.259,2021-07-28
11846,20-Nov,제주시,외도동,숙박,256,46539161,12777460.92,2021-07-28
11865,20-Nov,제주시,삼도1동,숙박,261,75876780,11601137.13,2021-07-28
11873,20-Nov,제주시,삼도2동,숙박,2012,564688281,7767752.261,2021-07-28
12009,20-Nov,제주시,조천읍,숙박,118,15558716,25420558.26,2021-07-28
12148,20-Nov,제주시,이도1동,숙박,791,210910120,13077351.82,2021-07-28
12238,20-Nov,제주시,일도1동,숙박,27,3962453,3038383.63,2021-07-28
12309,20-Nov,서귀포시,성산읍,숙박,18,845000,17366301.56,2021-07-28
12332,20-Nov,서귀포시,서홍동,숙박,149,15298751,7422240.674,2021-07-28
12400,20-Nov,서귀포시,영천동,숙박,1558,117736377,6521766.704,2021-07-28
12416,20-Nov,서귀포시,송산동,숙박,1563,117926377,22810330.95,2021-07-28
12423,20-Nov,서귀포시,안덕면,숙박,1,638000,21991731.14,2021-07-28
12448,20-Nov,서귀포시,대륜동,숙박,24,9902274,16765213.69,2021-07-28
12570,20-Nov,서귀포시,대천동,숙박,531,47826857,10545756.44,2021-07-28
12613,20-Nov,제주시,건입동,숙박,34,1301000,10643102.62,2021-07-28
12670,20-Nov,제주시,노형동,숙박,68,7425000,58617075.23,2021-07-28
12703,20-Nov,제주시,구좌읍,숙박,2,325000,16428021.48,2021-07-28
12758,20-Nov,서귀포시,중문동,숙박,406,96638153,12852065.0,2021-07-28
12771,20-Nov,서귀포시,정방동,숙박,5,190000,4647394.507,2021-07-28
12781,20-Nov,서귀포시,예래동,숙박,4346,2319369246,7650703.339,2021-07-28
12809,20-Nov,서귀포시,천지동,숙박,154,15488751,9469862.881,2021-07-28
12877,20-Nov,서귀포시,중앙동,숙박,5,190000,5048833.006,2021-07-28
12892,20-Dec,제주시,연동,숙박,2053,786650255,53339784.82,2021-07-28
12918,20-Dec,제주시,애월읍,숙박,115,13260535,44958358.51,2021-07-28
12975,20-Dec,제주시,용담1동,숙박,15,13443000,7876889.302,2021-07-28
13012,20-Dec,제주시,외도동,숙박,227,40492505,13978320.57,2021-07-28
13038,20-Dec,제주시,삼도1동,숙박,153,42578696,12246924.29,2021-07-28
13094,20-Dec,제주시,삼도2동,숙박,1171,344790201,7417308.139,2021-07-28
13178,20-Dec,제주시,조천읍,숙박,83,10351177,24547403.81,2021-07-28
13330,20-Dec,제주시,이도1동,숙박,487,74119502,12998995.15,2021-07-28
13417,20-Dec,제주시,일도1동,숙박,16,1308000,2833153.845,2021-07-28
13468,20-Dec,서귀포시,성산읍,숙박,21,1280000,16297889.47,2021-07-28
13498,20-Dec,서귀포시,서홍동,숙박,83,8275040,8216572.37,2021-07-28
13555,20-Dec,서귀포시,영천동,숙박,930,71861000,6565732.261,2021-07-28
13580,20-Dec,서귀포시,송산동,숙박,941,74171000,23220433.3,2021-07-28
13587,20-Dec,서귀포시,안덕면,숙박,2,1851000,20558710.77,2021-07-28
13619,20-Dec,서귀포시,대륜동,숙박,18,3785988,16876835.65,2021-07-28
13729,20-Dec,서귀포시,대천동,숙박,245,21251986,10869873.42,2021-07-28
13778,20-Dec,제주시,건입동,숙박,14,475000,10560086.54,2021-07-28
13825,20-Dec,제주시,노형동,숙박,73,6019000,59681198.34,2021-07-28
13857,20-Dec,제주시,구좌읍,숙박,2,70000,15559037.95,2021-07-28
13914,20-Dec,서귀포시,중문동,숙박,270,93855445,12775227.64,2021-07-28
13927,20-Dec,서귀포시,정방동,숙박,11,2310000,4265147.21,2021-07-28
13963,20-Dec,서귀포시,예래동,숙박,3059,1667105957,6643699.211,2021-07-28
13971,20-Dec,서귀포시,천지동,숙박,94,10585040,10121583.03,2021-07-28
14030,20-Dec,서귀포시,중앙동,숙박,11,2310000,5040350.186,2021-07-28
14,20-Jan,서귀포시,남원읍,숙박,523,91234279,16801997.61,2020-12-15
42,20-Jan,서귀포시,대륜동,숙박,1591,254452528,16830498.28,2020-12-15
70,20-Jan,서귀포시,대정읍,숙박,465,27400530,18476081.71,2020-12-15
96,20-Jan,서귀포시,대천동,숙박,883,179793953,9737936.316,2020-12-15
122,20-Jan,서귀포시,동홍동,숙박,119,10818405,19770410.63,2020-12-15
148,20-Jan,서귀포시,서홍동,숙박,11,1130000,7659463.85,2020-12-15
176,20-Jan,서귀포시,성산읍,숙박,2097,259267082,17204429.85,2020-12-15
207,20-Jan,서귀포시,송산동,숙박,3122,452367552,22477951.84,2020-12-15
239,20-Jan,서귀포시,안덕면,숙박,2622,127032621,19888850.5,2020-12-15
265,20-Jan,서귀포시,영천동,숙박,131,7013051,5939587.76,2020-12-15
287,20-Jan,서귀포시,예래동,숙박,1277,380609875,8063837.637,2020-12-15
316,20-Jan,서귀포시,정방동,숙박,2962,437202096,5250639.372,2020-12-15
344,20-Jan,서귀포시,중문동,숙박,1670,409731427,11695772.36,2020-12-15
372,20-Jan,서귀포시,중앙동,숙박,2962,437202096,5087795.118,2020-12-15
400,20-Jan,서귀포시,천지동,숙박,2973,438332096,9663139.342,2020-12-15
428,20-Jan,서귀포시,표선면,숙박,396,33584000,12037184.0,2020-12-15
453,20-Jan,서귀포시,효돈동,숙박,9,6199000,4578960.949,2020-12-15
478,20-Jan,제주시,건입동,숙박,1652,213849243,10594143.14,2020-12-15
506,20-Jan,제주시,구좌읍,숙박,506,25682738,15302814.41,2020-12-15
538,20-Jan,제주시,노형동,숙박,1191,223034121,57035512.82,2020-12-15
565,20-Jan,제주시,도두동,숙박,238,61430381,4225425.764,2020-12-15
586,20-Jan,제주시,봉개동,숙박,69,2106980,6509112.861,2020-12-15
608,20-Jan,제주시,삼도1동,숙박,654,47307196,12129463.91,2020-12-15
637,20-Jan,제주시,삼도2동,숙박,290,23716184,8099927.678,2020-12-15
664,20-Jan,제주시,삼양동,숙박,73,20959340,17225689.49,2020-12-15
692,20-Jan,제주시,아라동,숙박,675,102550333,37981297.1,2020-12-15
721,20-Jan,제주시,애월읍,숙박,3453,398905707,42634658.03,2020-12-15
754,20-Jan,제주시,연동,숙박,4919,592366655,53916295.07,2020-12-15
785,20-Jan,제주시,오라동,숙박,309,51986574,20300163.74,2020-12-15
812,20-Jan,제주시,외도동,숙박,1137,42646950,11662174.2,2020-12-15
841,20-Jan,제주시,용담1동,숙박,122,26224835,8124166.637,2020-12-15
869,20-Jan,제주시,용담2동,숙박,292,23470205,20449134.93,2020-12-15
894,20-Jan,제주시,우도면,숙박,50,2173500,1678053.974,2020-12-15
919,20-Jan,제주시,이도1동,숙박,376,67962340,12140177.55,2020-12-15
946,20-Jan,제주시,이도2동,숙박,1238,223022239,55681295.56,2020-12-15
974,20-Jan,제주시,이호동,숙박,121,25556863,4907669.303,2020-12-15
1000,20-Jan,제주시,일도1동,숙박,292,17679500,3553858.98,2020-12-15
1028,20-Jan,제주시,일도2동,숙박,278,64722247,27941024.13,2020-12-15
1057,20-Jan,제주시,조천읍,숙박,1177,149345285,24554291.51,2020-12-15
1081,20-Jan,제주시,추자면,숙박,51,12133000,2052369.806,2020-12-15
1103,20-Jan,제주시,한경면,숙박,13,1842050,7260827.47,2020-12-15
1131,20-Jan,제주시,한림읍,숙박,1546,193085086,22218465.44,2020-12-15
